name_translations;city_code;country_code;time_zone;code;iata_type;name;coordinates;flightable;Zone;Top151
{'en': 'Addis Ababa Bole International Airport'};ADD;ET;Africa/Addis_Ababa;ADD;airport;Addis Ababa Bole International Airport;{'lat': 8.983759, 'lon': 38.7959};TRUE;Africa / Oceania;1
{'en': 'Malaga Airport'};AGP;ES;Europe/Madrid;AGP;airport;Malaga Airport;{'lat': 36.675182, 'lon': -4.489616};TRUE;Europe;1
{'en': 'Auckland Airport'};AKL;NZ;Pacific/Auckland;AKL;airport;Auckland Airport;{'lat': -37.004787, 'lon': 174.78352};TRUE;Africa / Oceania;1
{'en': 'Houari Boumediene Airport'};ALG;DZ;Africa/Algiers;ALG;airport;Houari Boumediene Airport;{'lat': 36.70058, 'lon': 3.21167};TRUE;Africa / Oceania;1
{'en': 'Amsterdam Airport Schiphol'};AMS;NL;Europe/Amsterdam;AMS;airport;Amsterdam Airport Schiphol;{'lat': 52.30907, 'lon': 4.763385};TRUE;Europe;1
{'en': 'Stockholm Arlanda Airport'};STO;SE;Europe/Stockholm;ARN;airport;Stockholm Arlanda Airport;{'lat': 59.64982, 'lon': 17.930365};TRUE;Europe;1
{'en': 'Eleftherios Venizelos International Airport'};ATH;GR;Europe/Athens;ATH;airport;Eleftherios Venizelos International Airport;{'lat': 37.93635, 'lon': 23.946486};TRUE;Europe;1
{'en': 'Hartsfield-Jackson Atlanta International Airport'};ATL;US;America/New_York;ATL;airport;Hartsfield-Jackson Atlanta International Airport;{'lat': 33.640068, 'lon': -84.44403};TRUE;America;1
{'en': 'Abu Dhabi International Airport'};AUH;AE;Asia/Dubai;AUH;airport;Abu Dhabi International Airport;{'lat': 24.426912, 'lon': 54.645973};TRUE;Asia;1
{'en': 'Antalya Airport'};AYT;TR;Europe/Istanbul;AYT;airport;Antalya Airport;{'lat': 36.89928, 'lon': 30.80135};TRUE;Asia;1
{'en': 'Barcelona-El Prat Airport'};BCN;ES;Europe/Madrid;BCN;airport;Barcelona-El Prat Airport;{'lat': 41.30303, 'lon': 2.07593};TRUE;Europe;1
{'en': 'Suvarnabhumi Airport'};BKK;TH;Asia/Bangkok;BKK;airport;Suvarnabhumi Airport;{'lat': 13.693062, 'lon': 100.752045};TRUE;Asia;1
{'en': 'Kempegowda International Airport'};BLR;IN;Asia/Kolkata;BLR;airport;Kempegowda International Airport;{'lat': 13.198889, 'lon': 77.70556};TRUE;Asia;1
{'en': 'Brisbane Airport'};BNE;AU;Australia/Brisbane;BNE;airport;Brisbane Airport;{'lat': -27.40303, 'lon': 153.10905};TRUE;Africa / Oceania;1
{'en': 'El Dorado International Airport'};BOG;CO;America/Bogota;BOG;airport;El Dorado International Airport;{'lat': 4.698602, 'lon': -74.143135};TRUE;America;1
{'en': 'Chhatrapati Shivaji International Airport'};BOM;IN;Asia/Kolkata;BOM;airport;Chhatrapati Shivaji International Airport;{'lat': 19.095509, 'lon': 72.87497};TRUE;Asia;1
{'en': 'Logan International Airport'};BOS;US;America/New_York;BOS;airport;Logan International Airport;{'lat': 42.36646, 'lon': -71.02018};TRUE;America;1
{'en': 'Brussels Airport'};BRU;BE;Europe/Brussels;BRU;airport;Brussels Airport;{'lat': 50.89717, 'lon': 4.483602};TRUE;Europe;1
{'en': 'Brasilia International Airport'};BSB;BR;America/Sao_Paulo;BSB;airport;Brasilia International Airport;{'lat': -15.869807, 'lon': -47.921486};TRUE;America;1
{'en': 'Budapest Ferenc Liszt International Airport'};BUD;HU;Europe/Budapest;BUD;airport;Budapest Ferenc Liszt International Airport;{'lat': 47.433037, 'lon': 19.261621};TRUE;Europe;1
{'en': 'Cairo International Airport'};CAI;EG;Africa/Cairo;CAI;airport;Cairo International Airport;{'lat': 30.120106, 'lon': 31.40647};TRUE;Africa / Oceania;1
{'en': 'Guangzhou Baiyun International Airport'};CAN;CN;Asia/Shanghai;CAN;airport;Guangzhou Baiyun International Airport;{'lat': 23.387861, 'lon': 113.29734};TRUE;Asia;1
{'en': 'Netaji Subhas Chandra Bose Airport'};CCU;IN;Asia/Kolkata;CCU;airport;Netaji Subhas Chandra Bose Airport;{'lat': 22.64531, 'lon': 88.43931};TRUE;Asia;1
{'en': 'Charles de Gaulle Airport'};PAR;FR;Europe/Paris;CDG;airport;Charles de Gaulle Airport;{'lat': 49.003197, 'lon': 2.567023};TRUE;Europe;1
{'en': 'Soekarno-Hatta International Airport'};JKT;ID;Asia/Jakarta;CGK;airport;Soekarno-Hatta International Airport;{'lat': -6.130643, 'lon': 106.655525};TRUE;Asia;1
{'en': 'Zhengzhou Xinzheng Airport'};CGO;CN;Asia/Shanghai;CGO;airport;Zhengzhou Xinzheng Airport;{'lat': 34.52752, 'lon': 113.84024};TRUE;Asia;1
{'en': 'Jeju International Airport'};CJU;KR;Asia/Seoul;CJU;airport;Jeju International Airport;{'lat': 33.5067, 'lon': 126.49312};TRUE;Asia;1
{'en': 'Chongqing Jiangbei International Airport'};CKG;CN;Asia/Shanghai;CKG;airport;Chongqing Jiangbei International Airport;{'lat': 29.72034, 'lon': 106.63408};TRUE;Asia;1
{'en': 'Charlotte Douglas International Airport'};CLT;US;America/New_York;CLT;airport;Charlotte Douglas International Airport;{'lat': 35.219166, 'lon': -80.93584};TRUE;America;1
{'en': 'Mohamed V International Airport'};CMN;MA;Africa/Casablanca;CMN;airport;Mohamed V International Airport;{'lat': 33.36667, 'lon': -7.586667};TRUE;Africa / Oceania;1
{'en': 'Tancredo Neves International Airport'};BHZ;BR;America/Sao_Paulo;CNF;airport;Tancredo Neves International Airport;{'lat': -19.632418, 'lon': -43.963215};TRUE;America;1
{'en': 'Copenhagen Airport'};CPH;DK;Europe/Copenhagen;CPH;airport;Copenhagen Airport;{'lat': 55.62905, 'lon': 12.647601};TRUE;Europe;1
{'en': 'Cape Town International Airport'};CPT;ZA;Africa/Johannesburg;CPT;airport;Cape Town International Airport;{'lat': -33.968906, 'lon': 18.596489};TRUE;Africa / Oceania;1
{'en': 'Changsha Huanghua Airport'};CSX;CN;Asia/Shanghai;CSX;airport;Changsha Huanghua Airport;{'lat': 28.193336, 'lon': 113.21459};TRUE;Asia;1
{'en': 'New Chitose Airport'};SPK;JP;Asia/Tokyo;CTS;airport;New Chitose Airport;{'lat': 42.78728, 'lon': 141.68134};TRUE;Asia;1
{'en': 'Chengdu Shuangliu International Airport'};CTU;CN;Asia/Shanghai;CTU;airport;Chengdu Shuangliu International Airport;{'lat': 30.581135, 'lon': 103.9568};TRUE;Asia;1
{'en': 'Cancun International Airport'};CUN;MX;America/Cancun;CUN;airport;Cancun International Airport;{'lat': 21.040457, 'lon': -86.874435};TRUE;America;1
{'en': 'Da Nang International Airport'};DAD;VN;Asia/Ho_Chi_Minh;DAD;airport;Da Nang International Airport;{'lat': 16.055399, 'lon': 108.20298};TRUE;Asia;1
{'en': 'Ronald Reagan National Airport'};WAS;US;America/New_York;DCA;airport;Ronald Reagan National Airport;{'lat': 38.853436, 'lon': -77.04346};TRUE;America;1
{'en': 'Indira Gandhi International Airport'};DEL;IN;Asia/Kolkata;DEL;airport;Indira Gandhi International Airport;{'lat': 28.556555, 'lon': 77.10079};TRUE;Asia;1
{'en': 'Denver International Airport'};DEN;US;America/Denver;DEN;airport;Denver International Airport;{'lat': 39.84939, 'lon': -104.672844};TRUE;America;1
{'en': 'Dallas/Fort Worth International Airport'};DFW;US;America/Chicago;DFW;airport;Dallas/Fort Worth International Airport;{'lat': 32.89746, 'lon': -97.036125};TRUE;America;1
{'en': 'Moscow Domodedovo Airport'};MOW;RU;Europe/Moscow;DME;airport;Moscow Domodedovo Airport;{'lat': 55.414566, 'lon': 37.899494};TRUE;Asia;1
{'en': 'Hamad International Airport'};DOH;QA;Asia/Qatar;DOH;airport;Hamad International Airport;{'lat': 25.267569, 'lon': 51.558067};TRUE;Asia;1
{'en': 'Ngurah Rai International Airport'};DPS;ID;Asia/Makassar;DPS;airport;Ngurah Rai International Airport;{'lat': -8.74446, 'lon': 115.16331};TRUE;Asia;1
{'en': 'Detroit Metropolitan Wayne County Airport'};DTT;US;America/Detroit;DTW;airport;Detroit Metropolitan Wayne County Airport;{'lat': 42.20781, 'lon': -83.35605};TRUE;America;1
{'en': 'Dublin Airport'};DUB;IE;Europe/Dublin;DUB;airport;Dublin Airport;{'lat': 53.42728, 'lon': -6.24357};TRUE;Europe;1
{'en': 'Dusseldorf International Airport'};DUS;DE;Europe/Berlin;DUS;airport;Dusseldorf International Airport;{'lat': 51.278328, 'lon': 6.76558};TRUE;Europe;1
{'en': 'Dubai Airport'};DXB;AE;Asia/Dubai;DXB;airport;Dubai Airport;{'lat': 25.248665, 'lon': 55.352917};TRUE;Asia;1
{'en': 'Newark Liberty International Airport'};NYC;US;America/New_York;EWR;airport;Newark Liberty International Airport;{'lat': 40.68907, 'lon': -74.17876};TRUE;America;1
{'en': 'Ministro Pistarini Airport'};BUE;AR;America/Argentina/Buenos_Aires;EZE;airport;Ministro Pistarini Airport;{'lat': -34.81273, 'lon': -58.539833};TRUE;America;1
{'en': 'Leonardo da Vinci-Fiumicino Airport'};ROM;IT;Europe/Rome;FCO;airport;Leonardo da Vinci-Fiumicino Airport;{'lat': 41.794594, 'lon': 12.250346};TRUE;Europe;1
{'en': 'Fort Lauderdale-Hollywood International Airport'};FLL;US;America/New_York;FLL;airport;Fort Lauderdale-Hollywood International Airport;{'lat': 26.071491, 'lon': -80.144905};TRUE;America;1
{'en': 'Frankfurt Airport'};FRA;DE;Europe/Berlin;FRA;airport;Frankfurt Airport;{'lat': 50.050735, 'lon': 8.570773};TRUE;Europe;1
{'en': 'Fukuoka Airport'};FUK;JP;Asia/Tokyo;FUK;airport;Fukuoka Airport;{'lat': 33.584286, 'lon': 130.4439};TRUE;Asia;1
{'en': 'Don Miguel Hidal Y Costilla International Airport'};GDL;MX;America/Mexico_City;GDL;airport;Don Miguel Hidal Y Costilla International Airport;{'lat': 20.525198, 'lon': -103.29921};TRUE;America;1
{'en': 'Galeao Antonio Carlos Jobim International Airport'};RIO;BR;America/Sao_Paulo;GIG;airport;Galeao Antonio Carlos Jobim International Airport;{'lat': -22.814653, 'lon': -43.24651};TRUE;America;1
{'en': 'Sao Paulo-Guarulhos International Airport'};SAO;BR;America/Sao_Paulo;GRU;airport;Sao Paulo-Guarulhos International Airport;{'lat': -23.425669, 'lon': -46.481926};TRUE;America;1
{'en': 'Geneve Airport'};GVA;CH;Europe/Zurich;GVA;airport;Geneve Airport;{'lat': 46.229633, 'lon': 6.105774};TRUE;Europe;1
{'en': 'Haikou Airport'};HAK;CN;Asia/Shanghai;HAK;airport;Haikou Airport;{'lat': 19.941612, 'lon': 110.45717};TRUE;Asia;1
{'en': 'Hamburg Airport'};HAM;DE;Europe/Berlin;HAM;airport;Hamburg Airport;{'lat': 53.63128, 'lon': 10.006414};TRUE;Europe;1
{'en': 'Noi Bai International Airport'};HAN;VN;Asia/Ho_Chi_Minh;HAN;airport;Noi Bai International Airport;{'lat': 21.214184, 'lon': 105.802826};TRUE;Asia;1
{'en': 'Helsinki-Vantaa Airport'};HEL;FI;Europe/Helsinki;HEL;airport;Helsinki-Vantaa Airport;{'lat': 60.31795, 'lon': 24.96645};TRUE;Europe;1
