iata,mes,temp_media,temp_max_media,precip_mm,dias_lluvia,horas_sol_dia
ADD,1,15.3,22.6,7.3,1.3,10.9
ADD,2,16.8,23.8,17.5,3.6,10.9
ADD,3,17.7,24.3,47.1,8.9,10.8
ADD,4,17.5,23.8,106.7,14.4,10.7
ADD,5,17.1,23.3,114.3,14.2,11.0
ADD,6,16.0,22.0,152.7,19.6,10.5
ADD,7,15.0,20.2,305.0,30.1,9.0
ADD,8,14.9,20.1,284.0,30.5,9.4
ADD,9,15.0,20.2,182.7,23.6,10.5
ADD,10,15.4,21.6,36.3,5.2,11.4
ADD,11,15.2,22.0,9.5,2.5,11.3
ADD,12,14.8,22.1,1.8,0.5,11.0
AGP,1,11.8,16.0,45.0,5.6,8.2
AGP,2,12.8,16.7,31.2,4.9,9.4
AGP,3,14.4,18.5,83.4,9.0,9.8
AGP,4,16.2,20.0,41.1,6.3,11.2
AGP,5,19.6,23.4,20.8,2.9,12.6
AGP,6,23.3,27.2,7.8,1.6,13.5
AGP,7,26.2,30.2,0.7,0.1,13.2
AGP,8,26.2,29.9,5.6,1.2,12.6
AGP,9,23.3,27.0,27.1,3.6,11.3
AGP,10,19.6,23.3,68.9,5.6,9.5
AGP,11,15.5,19.5,59.2,5.5,8.8
AGP,12,13.2,17.1,35.5,4.8,8.2
AKL,1,20.1,23.0,87.1,9.5,11.7
AKL,2,20.3,23.3,105.9,10.6,10.7
AKL,3,18.9,21.9,86.8,10.5,10.1
AKL,4,17.0,19.6,93.2,10.8,8.9
AKL,5,14.7,17.3,95.2,11.8,7.9
AKL,6,12.9,15.3,95.8,10.8,7.1
AKL,7,11.9,14.4,121.7,13.1,7.3
AKL,8,11.9,14.6,116.4,14.1,8.3
AKL,9,13.0,15.6,112.0,14.5,9.3
AKL,10,14.5,17.0,103.2,12.7,10.0
AKL,11,16.4,19.2,108.7,13.7,11.1
AKL,12,18.6,21.4,85.8,13.1,11.8
ALG,1,11.6,16.3,82.8,10.6,8.5
ALG,2,12.5,17.1,58.4,8.4,9.0
ALG,3,14.2,19.0,69.2,9.6,9.8
ALG,4,16.2,20.7,56.4,7.4,10.7
ALG,5,19.1,23.9,35.3,5.6,11.7
ALG,6,22.8,27.5,9.7,2.0,13.0
ALG,7,26.2,31.2,0.7,0.2,13.1
ALG,8,26.5,31.4,4.3,1.2,12.0
ALG,9,24.3,29.1,21.0,4.9,10.6
ALG,10,20.9,26.0,39.0,6.8,9.9
ALG,11,16.2,20.8,93.8,10.4,8.0
ALG,12,13.3,18.0,57.0,7.3,8.1
AMS,1,4.5,6.7,81.1,14.5,3.7
AMS,2,5.2,8.0,76.7,12.3,5.4
AMS,3,6.6,10.1,65.8,12.9,7.4
AMS,4,9.1,12.9,56.1,11.1,10.2
AMS,5,13.2,17.1,64.7,11.0,11.4
AMS,6,16.8,20.6,70.4,11.1,11.7
AMS,7,18.0,21.6,79.7,14.0,11.8
AMS,8,18.4,22.1,78.3,13.8,10.9
AMS,9,15.7,19.3,81.1,11.9,9.0
AMS,10,12.2,15.1,92.3,13.9,6.1
AMS,11,7.9,10.2,83.6,15.2,4.3
AMS,12,6.0,8.0,79.8,14.8,3.0
ARN,1,-1.6,0.6,48.3,10.4,2.1
ARN,2,-0.9,1.7,36.6,8.5,4.2
ARN,3,1.2,5.1,37.1,8.2,6.5
ARN,4,4.9,9.6,30.7,8.2,9.7
ARN,5,10.9,15.9,54.0,9.1,12.4
ARN,6,16.3,20.9,58.7,9.4,14.3
ARN,7,17.5,21.7,72.6,11.8,13.5
ARN,8,16.8,21.0,73.0,11.4,11.3
ARN,9,12.8,16.5,53.3,8.9,8.1
ARN,10,7.4,10.2,55.5,9.4,5.1
ARN,11,2.9,4.9,50.2,9.9,2.6
ARN,12,-0.1,1.9,43.4,10.5,1.6
ATH,1,8.3,12.3,63.6,9.0,7.3
ATH,2,9.7,14.0,45.6,7.2,8.5
ATH,3,11.3,16.0,57.3,8.0,9.6
ATH,4,15.2,20.6,31.3,4.8,11.4
ATH,5,19.8,25.3,37.3,5.7,12.2
ATH,6,24.8,30.0,28.0,5.0,13.5
ATH,7,27.6,32.5,13.2,2.7,13.6
ATH,8,27.2,32.1,14.0,3.0,12.9
ATH,9,23.2,28.4,31.0,4.1,11.4
ATH,10,18.4,23.2,30.5,3.6,9.6
