iata;mes;turismo_idx
ADD;1;1.02
ADD;2;0.95
ADD;3;1.24
ADD;4;0.94
ADD;5;0.95
ADD;6;0.91
ADD;7;1.0
ADD;8;0.99
ADD;9;0.93
ADD;10;1.05
ADD;11;1.0
ADD;12;1.01
AGP;1;1.17
AGP;2;0.99
AGP;3;1.1
AGP;4;1.09
AGP;5;1.02
AGP;6;0.94
AGP;7;0.98
AGP;8;0.97
AGP;9;0.95
AGP;10;0.95
AGP;11;0.97
AGP;12;0.86
AKL;1;1.24
AKL;2;1.05
AKL;3;1.17
AKL;4;0.93
AKL;5;0.9
AKL;6;0.88
AKL;7;1.0
AKL;8;1.0
AKL;9;0.89
AKL;10;0.95
AKL;11;1.0
AKL;12;1.0
ALG;1;1.09
ALG;2;0.95
ALG;3;1.09
ALG;4;1.03
ALG;5;0.96
ALG;6;0.91
ALG;7;1.02
ALG;8;0.99
ALG;9;0.91
ALG;10;0.99
ALG;11;1.0
ALG;12;1.05
AMS;1;1.09
AMS;2;0.92
AMS;3;1.04
AMS;4;1.0
AMS;5;1.0
AMS;6;0.93
AMS;7;1.02
AMS;8;1.0
AMS;9;1.0
AMS;10;1.08
AMS;11;1.01
AMS;12;0.92
ARN;1;1.1
ARN;2;0.95
ARN;3;1.01
ARN;4;1.0
ARN;5;1.02
ARN;6;0.96
ARN;7;1.06
ARN;8;1.11
ARN;9;1.0
ARN;10;1.03
ARN;11;0.88
ARN;12;0.87
ATH;1;1.07
ATH;2;0.94
ATH;3;1.04
ATH;4;0.99
ATH;5;1.03
ATH;6;0.95
ATH;7;1.02
ATH;8;1.04
ATH;9;1.02
ATH;10;1.05
ATH;11;0.95
ATH;12;0.9
ATL;1;1.03
ATL;2;0.92
ATL;3;0.98
ATL;4;0.91
ATL;5;0.92
ATL;6;0.86
ATL;7;0.92
ATL;8;1.03
ATL;9;1.09
ATL;10;1.11
ATL;11;1.13
ATL;12;1.1
AUH;1;1.19
AUH;2;1.06
AUH;3;1.06
AUH;4;0.93
AUH;5;0.92
AUH;6;0.81
AUH;7;0.84
AUH;8;0.87
