whc_id;nombre;pais;categoria;lat;lon
1246;Iwami Ginzan Silver Mine;Japan;cultural;35.107222;132.4375
1246;Iwami Ginzan Silver Mine;Japan;cultural;35.107222;132.4375
304;Canadian Rocky Mountain Parks World Heritage Site;Canada;natural;51.424722222222;-116.47972222222
304;Canadian Rocky Mountain Parks World Heritage Site;Canada;natural;51.424722222222;-116.47972222222
870;Heijō Palace;Japan;cultural;34.69111111;135.79555556
4;L'Anse aux Meadows;Canada;cultural;51.595266666667;-55.531222222222
4;L'Anse aux Meadows;Canada;cultural;51.595266666667;-55.531222222222
71;Dinosaur Provincial Park;Canada;natural;50.7617;-111.485
256;Wood Buffalo National Park;Canada;natural;59.3833;-112.983
24;Nahanni National Park Reserve;Canada;natural;61.5971;-125.852
530;Delos;Greece;cultural;37.38948;25.26904
530;Delos;Greece;cultural;37.39121;25.27122
669;León Cathedral;Spain;cultural;42.59944444;-5.56666667
1187;Struve Geodetic Arc;Norway;cultural;52.289444444444;25.649444444444
1195;Geirangerfjord;Norway;natural;62.094444444444;7.0805555555556
661;Himeji Castle;Japan;cultural;34.839444444444;134.69361111111
776;Itsukushima Shrine;Japan;cultural;34.29577;132.320105
1495;Hidden Christian Sites in the Nagasaki Region;Japan;cultural;32.802222;128.903889
1560;Madinat Al-Zahra;Spain;cultural;37.886080468889;-4.8677854722573
669;Castle of Xabier;Spain;cultural;42.594027777778;-1.2158333333333
669;Casa de la Misericordia de Pamplona;Spain;cultural;42.8086427;-1.6481812
310;Cave of Altamira;Spain;cultural;43.376944444444;-4.11975
310;Cave of Altamira;Spain;cultural;43.38333;-4.11667
310;Cave of Altamira;Spain;cultural;43.376944444444;-4.11975
310;Cave of Altamira;Spain;cultural;43.38333;-4.11667
669;Santa Colomba de Somoza;Spain;cultural;42.4425;-6.2425
312;La Foncalada;Spain;cultural;43.36530556;-5.84605556
669;Hospital de los Reyes Católicos;Spain;cultural;42.881388888889;-8.5458333333333
1133;Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe;Spain;natural;49.0;15.0
1133;Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe;Spain;natural;49.0;15.0
1133;Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe;Spain;natural;49.0;15.0
1133;Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe;Spain;natural;49.0;15.0
58;Urnes Stave Church;Norway;cultural;61.298055555556;7.3225
695;Roskilde Cathedral;Denmark;cultural;55.642669444444;12.080308333333
