iata,unesco_60km,unesco_cultural_60km,unesco_natural_60km,unesco_100km,unesco_cultural_100km,unesco_natural_100km,unesco_cercano_km
ADD,1,1,0,2,2,0,37.5
AGP,1,1,0,3,3,0,32.5
AKL,0,0,0,0,0,0,253.9
ALG,1,1,0,2,2,0,16.3
AMS,7,7,0,9,9,0,8.2
ARN,3,3,0,3,3,0,36.4
ATH,2,2,0,3,3,0,19.6
ATL,0,0,0,0,0,0,238.2
AUH,0,0,0,0,0,0,108.4
AYT,0,0,0,0,0,0,144.4
BCN,4,4,0,5,5,0,7.9
BKK,0,0,0,1,1,0,76.2
BLR,0,0,0,0,0,0,185.3
BNE,0,0,0,1,0,1,82.2
BOG,0,0,0,0,0,0,164.9
BOM,3,3,0,3,3,0,15.8
BOS,0,0,0,0,0,0,301.2
BRU,10,9,1,15,14,1,8.4
BSB,1,1,0,1,1,0,9.4
BUD,1,1,0,2,2,0,15.4
CAI,2,2,0,2,2,0,15.2
CAN,0,0,0,0,0,0,134.3
CCU,0,0,0,0,0,0,104.6
CDG,4,4,0,6,6,0,22.7
CGK,0,0,0,0,0,0,135.6
CGO,0,0,0,1,1,0,65.6
CJU,1,0,1,1,0,1,16.0
CKG,0,0,0,2,1,1,75.0
CLT,0,0,0,0,0,0,229.7
CMN,0,0,0,2,2,0,86.0
CNF,1,1,0,3,3,0,24.4
CPH,5,4,1,6,4,2,18.0
CPT,3,2,1,3,2,1,7.0
CSX,0,0,0,0,0,0,296.9
CTS,1,1,0,1,1,0,11.3
CTU,1,1,0,2,1,1,51.9
CUN,0,0,0,0,0,0,180.5
DAD,2,2,0,3,2,0,23.9
DCA,0,0,0,0,0,0,154.4
DEL,4,4,0,4,4,0,9.0
DEN,0,0,0,0,0,0,386.8
DFW,0,0,0,0,0,0,409.9
DME,3,3,0,3,3,0,31.6
DOH,0,0,0,1,1,0,95.8
DPS,1,1,0,1,1,0,22.6
DTW,0,0,0,0,0,0,251.4
DUB,1,1,0,1,1,0,32.5
DUS,4,4,0,7,7,0,8.4
DXB,1,1,0,1,1,0,51.2
EWR,2,2,0,2,2,0,11.3
EZE,2,2,0,3,3,0,31.3
FCO,7,6,1,7,6,1,20.1
FLL,0,0,0,0,0,0,100.4
FRA,5,4,1,8,7,1,19.9
FUK,2,2,0,3,3,0,26.2
GDL,2,2,0,2,2,0,17.3
GIG,3,3,0,3,3,0,11.0
GRU,0,0,0,0,0,0,127.6
GVA,3,3,0,4,4,0,5.1
HAK,0,0,0,0,0,0,335.2
HAM,2,2,0,5,4,1,9.8
HAN,1,1,0,2,2,0,20.6
HEL,1,1,0,3,3,0,19.4
HGH,3,3,0,3,3,0,20.2
HKG,1,1,0,1,1,0,41.8
HND,1,1,0,4,4,0,18.5
HYD,0,0,0,0,0,0,196.4
IAD,0,0,0,0,0,0,136.5
IAH,0,0,0,0,0,0,291.9
ICN,6,6,0,7,7,0,29.3
IST,1,1,0,2,2,0,13.8
JED,1,1,0,1,1,0,21.4
JFK,2,2,0,2,2,0,21.3
JNB,2,2,0,2,2,0,17.3
KBP,1,1,0,1,1,0,25.7
KIX,4,4,0,6,6,0,25.1
KMG,1,0,1,1,0,1,48.4
KUL,1,1,0,2,2,0,53.7
KWI,0,0,0,0,0,0,174.4
LAS,0,0,0,0,0,0,272.0
LAX,1,1,0,1,1,0,20.3
LED,1,1,0,1,1,0,3.8
