whc_id;nombre;pais;categoria;criterios;lat;lon;n_componentes
1;Galápagos Islands;Ecuador;natural;(vii) (viii) (ix) (x);-0.622977;-90.361243;3
2;Historic Center of Quito;Ecuador;cultural;(ii) (iv);-0.22;-78.512083;1
3;Aachen Cathedral;Germany;cultural;(i) (ii) (iv) (vi);50.77475;6.0839222222222;2
4;L'Anse aux Meadows;Canada;cultural;(vi);51.595266666667;-55.531222222222;2
8;Ichkeul National Park;Tunisia;natural;(x);37.123444;9.655444;1
9;Simien Mountains National Park;Ethiopia;natural;(vii) (x);13.183333333333;38.066666666667;1
10;Lower Valley of the Awash;Ethiopia;cultural;(ii) (iii) (iv);11.1;40.5794;1
12;Tiya archaeological site;Ethiopia;cultural;(i) (iv);8.43491667;38.61211111;1
13;Melka Kunture;Ethiopia;cultural;(iii) (iv) (v);8.7025;38.608333333333;1
15;Axum;Ethiopia;cultural;(i) (iv);14.1218;38.7315;3
17;Omo River;Ethiopia;cultural;(iii) (iv);4.4969;36.0138;3
18;Monolithic churches in Lalibela;Ethiopia;cultural;(i) (ii) (iii);12.02935;39.04042;1
19;Fasil Ghebbi;Ethiopia;cultural;(ii) (iii);12.608055555556;37.469722222222;1
20;Ancient City of Damascus;Syria;cultural;(i) (ii) (iii) (iv) (vi);33.51111222;36.30639;2
21;Ancient City of Aleppo;Syria;cultural;(iii) (iv);36.18333333;37.15;1
22;Ancient City of Bosra;Syria;cultural;(i) (iii) (vi);32.51805556;36.48166667;2
23;Palmyra;Syria;cultural;(i) (ii) (iv);34.56;38.267222;4
24;Nahanni National Park Reserve;Canada;natural;(vii) (viii);61.5971;-125.852;1
25;Djoudj National Bird Sanctuary;Senegal;natural;(vii) (x);16.358494949351;-16.274101560794;1
26;Gorée;Senegal;cultural;(vi);14.666944444444;-17.398333333333;1
27;Mesa Verde National Park;United States;cultural;(iii);37.260375;-108.494444;1
28;Yellowstone National Park;United States;natural;(vii) (viii) (ix) (x);44.6;-110.5;1
29;Kraków Old Town;Poland;cultural;(iv);50.06209;19.93688;1
30;Warsaw Old Town;Poland;cultural;(ii) (vi);52.249722222222;21.012222222222;2
31;Auschwitz I concentration camp;Poland;cultural;(vi);50.027606;19.203088;4
32;Wieliczka Salt Mine;Poland;cultural;(iv);49.983053;20.055655;6
33;Białowieża Forest;Poland;natural;(ix) (x);52.75;23.95;4
34;Fort Vredenburgh;Ghana;cultural;(vi);5.05214;-1.48391;15
35;Asante Traditional Buildings;Ghana;cultural;(v);6.40111;-1.62583;1
